"gene","correlation","value","padj","cor_idx","sig","deg","padj_log10","veclen1","veclen2","veclen3"
"Rbbp7","cor_th1_thmix",0.434247871913208,0.620436697429827,0.565752128086792,"ns","ns",0.207302522560671,0.0101585682597377,0.322288058574374,0.322448118631086
"Actb","cor_th1_thmix",-0.259026137964973,0.629971596412602,1.25902613796497,"ns","ns",0.200679031180316,0.00983399338976514,0.717220615804513,0.717288030822343
"Ppp1ca","cor_th1_thmix",0.413264413199984,0.549130660536313,0.586735586800016,"ns","ns",0.260324306918947,0.0127568261535798,0.334241558764872,0.33448491179586
"Foxk1.1","cor_th1_thmix",0.491098596065428,0.565055210481843,0.508901403934572,"ns","ns",0.247909116010356,0.0121484372022795,0.289902304096477,0.290156734278052
"Maged1","cor_th1_thmix",0.472094850053451,0.258411839947041,0.527905149946549,"ns","ns",0.587687591660448,0.0287988030321063,0.300728035196336,0.302103826869391
"Sft2d2","cor_th1_thmix",0.301418202222577,0.0646660270200153,0.698581797777423,"ns","ns",1.18932382060982,0.0582811393964634,0.397956207646014,0.402201236215588
"Actb.2","cor_th1_thmix",0.42513108840666,0.16820302889953,0.57486891159334,"ns","ns",0.774166187952446,0.0379369241027649,0.327481552882039,0.329671620993392
"Rbbp7.1","cor_th1_thmix",0.420736043791412,0.641477170960859,0.579263956208588,"ns","ns",0.192818794787329,0.00944881357164468,0.329985247214018,0.330120498389313
"G3bp1","cor_th1_thmix",-0.206095681196111,0.673284704449032,1.20609568119611,"ns","ns",0.171801251637561,0.00841887845989794,0.687068092632962,0.687119670384147
"Malt1","cor_th1_thmix",0.265855193420191,0.834813235333393,0.734144806579809,"ns","ns",0.0784106741409712,0.00384240469297708,0.418215138182862,0.41823278910092
"Sla.1","cor_th1_thmix",0.422454941610604,0.303269665354813,0.577545058389396,"ns","ns",0.518171027961241,0.0253922416994331,0.329006054713393,0.329984469296049
"Eif5a","cor_th1_thmix",0.037167352562035,0.584071035448271,0.962832647437965,"ns","ns",0.233534330238454,0.0114440210635891,0.54849014129948,0.548609515703864
"Pitpnm1","cor_th1_thmix",0.490098510789902,0.314388191258256,0.509901489210098,"ns","ns",0.502533774870835,0.0246259601272096,0.290472015681917,0.291514030205242
"Atm","cor_th1_thmix",0.485625862488823,0.359385090102175,0.514374137511177,"ns","ns",0.444439944535532,0.0217791537611265,0.293019917962931,0.293828187656585
"Cdc14b.2","cor_th1_thmix",0.378091376074953,0.774800766534181,0.621908623925047,"ns","ns",0.110809958291852,0.00543008599828796,0.354278336863304,0.354319948358228
"Msto1","cor_th1_thmix",0.409513459302667,0.0982731330711367,0.590486540697333,"ns","ns",1.00756519787272,0.0493743139846769,0.336378338441612,0.339982660519912
"Cd247.2","cor_th1_thmix",0.264076152101603,0.643249172905682,0.735923847898397,"ns","ns",0.191620763536161,0.00939010573687277,0.419228592210212,0.41933374132343
"Rbbp7.4","cor_th1_thmix",0.383854054142406,0.554675984163522,0.616145945857594,"ns","ns",0.255960637386083,0.0125429906716717,0.350995552346295,0.351219595668963
"Gcn5l2","cor_th1_thmix",0.493603363233238,0.12447320714365,0.506396636766762,"ns","ns",0.90492412039074,0.0443445324896229,0.28847543089951,0.291863858321617
"Elovl1.2","cor_th1_thmix",0.123880160235184,0.492519848433868,0.876119839764816,"ns","ns",0.307576262848384,0.0150723417285282,0.499093062523976,0.499320598958969
"Elovl1.3","cor_th1_thmix",0.345641767851305,0.246621062975377,0.654358232148695,"ns","ns",0.607969834701603,0.0297927057972493,0.372763678264078,0.373952356793865
